date,part,variant,initial_soc_kwh,final_soc_kwh,baseline_plan_cost_yuan,upward_adjustment_cost_yuan,downward_cancellation_refund_yuan,settled_normal_cost_yuan,emergency_cost_yuan,total_cost_yuan,original_plan_kwh,final_commitment_kwh,up_kwh,down_kwh,emergency_kwh,waste_kwh,charge_kwh,discharge_kwh,scenario_count_min
2025-02-01,q43,P1_bias2h,6000.0,9856.942192055996,24672.377527486868,0.0,1919.482405810649,22752.895121676218,0.0,22752.895121676218,54178.785381867165,47843.04218975887,0.0,6335.743192108302,0.0,5903.803771914158,21525.3395350578,13964.277050546425,30
2025-02-02,q43,P1_bias2h,9856.942192055996,5135.331157388408,62982.54314135599,0.0,2210.1458264766106,60772.39731487938,0.0,60772.39731487938,84878.30539942082,79335.23205170181,0.0,5543.073347719011,0.0,2354.632810562958,15125.111696524655,16500.7904053858,30
2025-02-03,q43,P1_bias2h,5135.331157388408,5451.022720337241,69868.6335749345,0.0,3116.702680641412,66751.9308942931,0.0,66751.9308942931,93528.62902767968,86521.17198560978,0.0,7007.457042069917,0.0,2332.5168939994956,19408.506236612302,15436.767645002023,30
2025-02-04,q43,P1_bias2h,5451.022720337241,5613.092002772174,71448.16029030722,0.0,3274.6503805952643,68173.50990971195,0.0,68173.50990971195,95633.01685927968,88033.68697644508,0.0,7599.329882834612,0.0,2761.9977064473787,20689.278767401367,16612.453447403666,30
2025-02-05,q43,P1_bias2h,5613.092002772174,5570.46136350626,67426.91367595363,0.0,1660.6053365296057,65766.30833942402,0.0,65766.30833942402,91028.44907436818,87364.83799871027,0.0,3663.6110756579137,0.0,2909.7198441938185,19710.83550801288,16004.144336829755,30
2025-02-06,q43,P1_bias2h,5570.46136350626,5980.341540895535,67383.62635246458,0.0,2432.5280278644377,64951.09832460014,0.0,64951.09832460014,90998.5090384181,85213.81743641537,0.0,5784.691602002731,0.0,278.04287732417873,22609.606225127274,17944.888882702744,30
2025-02-07,q43,P1_bias2h,5980.341540895535,10245.162949121328,20322.876309903386,0.0,409.40289643106973,19913.473413472315,0.0,19913.473413472315,47129.20821250926,45763.1491237509,0.0,1366.0590887583503,0.0,5690.8913242164235,23306.520344550518,15039.9422116827,30
2025-02-08,q43,P1_bias2h,10245.162949121328,9922.787851811323,16258.24463874169,0.0,11.488716802501866,16246.755921939188,0.0,16246.755921939188,37792.08982483558,37762.46746164622,0.0,29.622363189363455,0.0,2607.8835984778634,20355.57228463522,16778.151138133526,30
2025-02-09,q43,P1_bias2h,9922.787851811323,4613.249227167208,55014.81533853084,3992.6376362128376,9.25671389159213,58998.196260852084,0.0,58998.196260852084,75544.82616801318,78854.66058631978,3338.1385447567204,28.30412645012575,0.0,765.9506643067068,17430.940618558452,18897.64666321205,30
2025-02-10,q43,P1_bias2h,4613.249227167208,7696.882975785147,59060.25259432956,0.0,1494.3418243006408,57565.910770028924,0.0,57565.910770028924,85774.8226594065,81725.70631332307,0.0,4049.116346083435,0.0,97.83558809415797,23820.856674418064,16519.623532522477,30
2025-02-11,q43,P1_bias2h,7696.882975785147,4619.356216648841,56913.26055671647,0.0,1826.8916357316984,55086.36892098477,0.0,55086.36892098477,80264.16615675592,76266.2485401138,0.0,3997.9176166421285,0.0,117.28926263273979,19463.87488089683,18535.51273674911,30
2025-02-12,q43,P1_bias2h,4619.356216648841,7573.414521261753,58549.32161269813,0.0,1108.7047533660673,57440.61685933206,0.0,57440.61685933206,85757.65063969196,82947.28985273447,0.0,2810.3607869574953,0.0,135.3655592719262,25718.608873566263,18173.420713437055,30
2025-02-13,q43,P1_bias2h,7573.414521261753,8104.54712596695,54388.15350713419,452.26202834931996,1741.5197866127176,53098.8957488708,0.0,53098.8957488708,79819.96444996419,76361.42117846254,392.29929418802357,3850.842565689666,0.0,131.63653743300142,23275.19094804318,18374.885323680297,30
