date,t,interval,price,load_kw,pv_kw,grid_kwh,charge_plan_kwh,discharge_plan_kwh,charge_exec_kwh,discharge_exec_kwh,emergency_kwh,surplus_kwh,E_start_kwh,E_end_kwh,plan_cost_yuan,emergency_cost_yuan
2025-02-01,0,0:00-0:10,0.4248,2532.1822,0.0,1304.9168370168652,833.3333333333333,0.0,833.3333333333333,0.0,0.0,49.55313701686532,6000.0,6750.0,554.3286723647643,0.0
2025-02-01,1,0:10-0:20,0.4245,2492.4439,0.0,1326.1949099708627,833.3333333333333,0.0,833.3333333333333,0.0,0.0,77.45425997086272,6750.0,7500.0,562.9697392826312,0.0
2025-02-01,2,0:20-0:30,0.4269,2464.3,0.0,1328.180054922907,833.3333333333333,0.0,833.3333333333333,0.0,0.0,84.130054922907,7500.0,8250.0,567.000065446589,0.0
2025-02-01,3,0:30-0:40,0.4272,2581.7688,0.0,1327.5818796688093,833.3333333333333,0.0,833.3333333333333,0.0,0.0,63.953746335476126,8250.0,9000.0,567.1429789945154,0.0
2025-02-01,4,0:40-0:50,0.4271,2546.4635,0.0,1348.3353217951092,833.3333333333333,0.0,833.3333333333333,0.0,0.0,90.5914051284426,9000.0,9750.0,575.8740159386911,0.0
2025-02-01,5,0:50-1:00,0.4285,2436.31,0.0,553.0999265276816,0.0,0.0,0.0,0.0,0.0,147.04825986101503,9750.0,9750.0,237.00331851711158,0.0
2025-02-01,6,1:00-1:10,0.4311,2620.5011,0.0,529.8117913790511,0.0,0.0,0.0,0.0,0.0,93.06160804571778,9750.0,9750.0,228.40186326350891,0.0
2025-02-01,7,1:10-1:20,0.4302,2710.7861,0.0,500.256615452288,0.0,0.0,0.0,0.0,0.0,48.45893211895469,9750.0,9750.0,215.2103959675743,0.0
2025-02-01,8,1:20-1:30,0.4279,2676.48,0.0,825.5790963997833,333.3333333333333,0.0,333.3333333333333,0.0,0.0,46.16576306645004,9750.0,10050.0,353.2652953494673,0.0
2025-02-01,9,1:30-1:40,0.4312,2830.598,0.0,511.19630656833385,0.0,0.0,0.0,0.0,0.0,39.429973235000546,10050.0,10050.0,220.42784739226556,0.0
2025-02-01,10,1:40-1:50,0.4333,2688.1558,0.0,526.9287766889981,0.0,0.0,0.0,0.0,0.0,78.9028100223315,10050.0,10050.0,228.3182389393429,0.0
2025-02-01,11,1:50-2:00,0.4311,2384.42,0.0,540.1655660295431,0.0,0.0,0.0,0.0,0.0,142.76223269620982,10050.0,10050.0,232.86537551533604,0.0
2025-02-01,12,2:00-2:10,0.4293,2604.5438,0.0,550.3458297018399,0.0,0.0,0.0,0.0,0.0,116.25519636850657,10050.0,10050.0,236.26346469099985,0.0
2025-02-01,13,2:10-2:20,0.4324,2943.3655,0.0,565.287380328434,0.0,0.0,0.0,0.0,0.0,74.72646366176735,10050.0,10050.0,244.43026325401485,0.0
2025-02-01,14,2:20-2:30,0.4367,3019.32,0.0,556.6200109908209,0.0,0.0,0.0,0.0,0.0,53.400010990820874,10050.0,10050.0,243.07595879969148,0.0
