date,load_kWh,pv_kWh,positive_net_kWh,surplus_pv_kWh,price_mean,month
2025-01-01,127286.15238333335,35250.98236666666,92035.17001666666,0.0,0.9265215277777776,1
2025-01-02,127657.07848333333,34771.83921666667,92885.23926666666,0.0,0.9266027777777778,1
2025-01-03,81883.55671666666,36378.61535,50979.255849999994,5474.314483333333,0.7386236111111111,1
2025-01-04,81891.73006666666,37126.127700000005,50776.28808333334,6010.685716666667,0.7303166666666667,1
2025-01-05,127674.11883333333,36638.408533333335,91035.71029999999,0.0,0.9252319444444446,1
2025-01-06,126826.69011666668,36194.20901666667,90632.48109999999,0.0,0.9289923611111112,1
2025-01-07,126927.46214999999,34360.561200000004,92566.90095,0.0,0.9234222222222223,1
2025-01-08,126695.94394999999,37169.94263333333,89526.00131666668,0.0,0.917373611111111,1
2025-01-09,127066.61819999998,35975.06208333333,91091.55611666669,0.0,0.9205923611111112,1
2025-01-10,81486.63841666667,35995.9717,50117.26973333334,4626.603016666667,0.7293041666666666,1
2025-01-11,81610.19496666666,36744.30835,50476.303933333336,5610.417316666666,0.7342124999999999,1
2025-01-12,126519.32696666666,35653.438566666664,90865.8884,0.0,0.9254215277777776,1
2025-01-13,126980.35978333333,38706.40281666666,88273.95696666666,0.0,0.9149201388888889,1
2025-01-14,127109.49061666666,37829.177683333335,89280.31293333333,0.0,0.916901388888889,1
2025-01-15,126963.89896666666,36893.556033333334,90070.34293333332,0.0,0.9231027777777778,1
2025-01-16,126807.76418333333,37733.612733333335,89074.15145,0.0,0.9150513888888889,1
2025-01-17,80876.0762,38186.96273333334,48967.433183333334,6278.319716666666,0.7245361111111112,1
2025-01-18,81208.0575,37965.54848333334,49229.72451666667,5987.215499999999,0.722370138888889,1
2025-01-19,126210.84621666667,37527.706750000005,88683.13946666666,0.0,0.9176687500000001,1
2025-01-20,126565.66615,38498.5896,88067.07655,0.0,0.9134951388888888,1
2025-01-21,125750.14588333333,42274.2412,84258.40456666666,782.4998833333333,0.8955743055555554,1
2025-01-22,126679.58855000003,37780.82418333334,88898.76436666667,0.0,0.9191166666666667,1
2025-01-23,126355.43115,36789.505549999994,89565.9256,0.0,0.9220041666666666,1
2025-01-24,80339.53570000001,40510.12255000001,48391.698533333336,8562.285383333334,0.7098805555555556,1
2025-01-25,80632.06428333333,42192.48881666667,48296.865966666664,9857.290500000001,0.7049715277777778,1
2025-01-26,126385.04865000001,38686.05861666667,87698.99003333332,0.0,0.916217361111111,1
2025-01-27,125642.95023333334,41448.033449999995,84393.41106666667,198.4942833333333,0.8984333333333334,1
2025-01-28,126496.61093333333,39516.211566666665,86980.39936666666,0.0,0.9057340277777778,1
2025-01-29,125425.44486666667,44040.243816666676,81515.20405,130.00299999999984,0.8898159722222222,1
2025-01-30,126011.04995,42268.46716666667,83970.14405,227.56126666666646,0.900129861111111,1
2025-01-31,80009.91998333334,41245.596933333334,47079.72001666666,8315.396966666667,0.7113951388888888,1
2025-02-01,76305.20628333333,41927.03034999999,44850.17781666667,10472.001883333332,0.6514930555555556,2
2025-02-02,121705.97265000001,43349.6947,78793.4705,437.19255000000004,0.8363881944444445,2
2025-02-03,122603.76900000001,42386.8525,80297.58298333334,80.66648333333342,0.8447902777777778,2
2025-02-04,121578.09885,40383.2349,81513.9123,319.0483500000002,0.8491895833333333,2
2025-02-05,121991.08443333332,41242.65745,80789.60933333333,41.18235000000004,0.8482541666666665,2
2025-02-06,122252.1627,41981.10548333334,80272.45803333334,1.400816666666742,0.8439645833333334,2
2025-02-07,76168.59693333333,44362.91726666666,44205.0829,12399.403233333336,0.6440388888888888,2
2025-02-08,75746.78751666666,44169.62480000001,43232.71175,11655.549033333335,0.642351388888889,2
2025-02-09,121547.90356666665,41992.4876,79607.84538333333,52.42941666666669,0.8413840277777778,2
2025-02-10,121477.56451666665,47150.926933333336,75778.36535,1451.7277666666669,0.8180638888888889,2
2025-02-11,121441.28161666666,46220.68448333334,76202.93678333334,982.3396500000003,0.8284923611111111,2
2025-02-12,121363.85288333333,46097.116749999994,76631.57463333332,1364.8385,0.8264243055555556,2
2025-02-13,121310.28371666667,49980.8047,73521.42235000001,2191.9433333333336,0.8147909722222221,2
2025-02-14,75872.63795,46070.83613333333,42609.102133333334,12807.300316666666,0.6311,2
2025-02-15,76054.55225,46774.46115000001,42635.89363333333,13355.802533333333,0.6378472222222222,2
2025-02-16,121276.97728333333,45899.59818333333,75948.42713333333,571.0480333333331,0.8303222222222222,2
2025-02-17,120960.37281666666,49776.50965,73082.76455,1898.9013833333331,0.8173527777777777,2
2025-02-18,121331.27123333333,49239.88345,73288.42195,1197.0341666666664,0.8145215277777778,2
2025-02-19,121866.79411666666,48987.46673333333,75154.35691666667,2275.029533333333,0.8164298611111112,2
2025-02-20,121105.25703333334,50112.1233,72792.92208333334,1799.7883499999998,0.8168069444444445,2
2025-02-21,75802.00203333332,50241.74,41472.251033333334,15911.989000000001,0.62085,2
2025-02-22,75682.24226666667,47837.47938333333,41634.6347,13789.871816666668,0.6352840277777778,2
2025-02-23,121142.14093333331,49610.287249999994,72896.99576666667,1365.1420833333336,0.8153784722222223,2
2025-02-24,120628.98855000001,52425.95493333333,71333.93281666667,3130.8992000000003,0.8082493055555555,2
2025-02-25,121093.33288333332,55272.00965,70550.58276666667,4729.259533333334,0.7940965277777778,2
2025-02-26,121060.73411666666,52245.886083333324,71523.06521666667,2708.2171833333337,0.8055381944444444,2
2025-02-27,120599.48893333333,53642.90473333334,71643.15313333333,4686.568933333335,0.7979118055555556,2
2025-02-28,75385.10794999999,52092.51440000001,40462.45056666667,17169.85701666667,0.6166784722222222,2
2025-03-01,72244.16015,48585.39421666666,39313.385266666664,15654.619333333334,0.6142222222222222,3
2025-03-02,117860.41708333335,45502.110016666666,72595.20049999999,236.89343333333318,0.8122930555555556,3
2025-03-03,117958.74559999998,45941.59896666667,73189.57896666667,1172.4323333333332,0.81185,3
2025-03-04,118139.02498333335,48939.56704999999,70914.67113333334,1715.2132000000001,0.8006277777777778,3
2025-03-05,118073.44383333332,51942.971816666664,68767.90856666667,2637.4365500000004,0.7945006944444444,3
2025-03-06,117673.59855,51732.94441666667,68907.43651666667,2966.782383333333,0.7918569444444444,3
2025-03-07,71680.36145000001,50758.07591666666,38142.223999999995,17219.938466666666,0.6085013888888889,3
2025-03-08,72344.71158333334,53281.572066666675,38475.91366666667,19412.77415,0.5972631944444444,3
2025-03-09,117692.9865,54359.46145,67661.33005,4327.805,0.7838090277777777,3
2025-03-10,117943.06436666667,49900.99291666667,68972.2149,930.14345,0.802451388888889,3
2025-03-11,117499.55295,53560.63415,67540.96113333333,3602.0423333333333,0.7893930555555556,3
2025-03-12,118112.23683333334,55676.70215,67323.01068333333,4887.476,0.7801680555555556,3
2025-03-13,118237.27704999999,50691.65903333333,68272.85921666666,727.2411999999999,0.7996374999999999,3
2025-03-14,72108.86895,56079.44296666668,37424.63611666667,21395.21013333333,0.5913868055555556,3
2025-03-15,72724.98178333334,51800.85663333334,38207.63546666667,17283.510316666667,0.6047722222222222,3
2025-03-16,117983.21598333334,54632.169050000004,66922.08571666667,3571.0387833333334,0.784895138888889,3
2025-03-17,117693.62180000001,59835.49036666667,64277.59396666667,6419.462533333334,0.7601756944444445,3
2025-03-18,117253.42358333334,56127.46521666667,66005.03358333332,4879.075216666667,0.7760166666666666,3
2025-03-19,117281.558,57816.08755,65489.434733333335,6023.964283333332,0.7718381944444445,3
2025-03-20,117648.38173333334,55439.41991666667,66119.8385,3910.8766833333334,0.7786381944444444,3
2025-03-21,72593.53221666667,60560.06770000001,36968.94995,24935.485433333335,0.5702902777777777,3
2025-03-22,71936.92953333333,56055.729799999994,36745.1311,20863.931366666668,0.5873881944444445,3
