date,t,interval,price,load_kw,pv_kw,grid_kwh,charge_plan_kwh,discharge_plan_kwh,charge_exec_kwh,discharge_exec_kwh,emergency_kwh,surplus_kwh,E_start_kwh,E_end_kwh,plan_cost_yuan,emergency_cost_yuan
2025-02-12,0,0:00-0:10,0.4248,3272.9536,0.0,599.4308563248667,0.0,0.0,0.0,0.0,0.0,53.938589658200044,9676.113257496685,9676.113257496685,254.63822776680337,0.0
2025-02-12,1,0:10-0:20,0.4245,3349.6031,0.0,637.4105772699545,0.0,0.0,0.0,0.0,0.0,79.14339393662124,9676.113257496685,9676.113257496685,270.5807900510957,0.0
2025-02-12,2,0:20-0:30,0.4269,3369.15,0.0,1050.7108131954699,415.4297138925722,0.0,415.4297138925722,0.0,0.0,73.75609930289772,9676.113257496685,10050.0,448.5484461531461,0.0
2025-02-12,3,0:30-0:40,0.4272,3450.7993,0.0,582.0149268972368,0.0,0.0,0.0,0.0,0.0,6.8817102305702065,10050.0,10050.0,248.63677677049958,0.0
2025-02-12,4,0:40-0:50,0.4271,3438.761,0.0,563.4040095775962,0.0,0.0,0.0,0.0,9.722823755737068,0.0,10050.0,10050.0,240.62985249059133,20.763090130376508
2025-02-12,5,0:50-1:00,0.4285,3414.57,0.0,605.4919424648766,0.0,0.0,0.0,0.0,0.0,36.39694246487659,10050.0,10050.0,259.45329734619963,0.0
2025-02-12,6,1:00-1:10,0.4311,3606.609,0.0,623.2134809416987,0.0,0.0,0.0,0.0,0.0,22.111980941698675,10050.0,10050.0,268.6673316339663,0.0
2025-02-12,7,1:10-1:20,0.4302,3619.2095,0.0,633.0815060753122,0.0,0.0,0.0,0.0,0.0,29.87992274197893,10050.0,10050.0,272.35166391359934,0.0
2025-02-12,8,1:20-1:30,0.4279,3464.48,0.0,582.0361982034863,0.0,0.0,0.0,0.0,0.0,4.622864870152966,10050.0,10050.0,249.05328921127176,0.0
2025-02-12,9,1:30-1:40,0.4312,3533.5142,0.0,614.5700172391164,0.0,0.0,0.0,0.0,0.0,25.65098390578305,10050.0,10050.0,265.002591433507,0.0
2025-02-12,10,1:40-1:50,0.4333,3490.2982,0.0,640.553432217894,0.0,0.0,0.0,0.0,0.0,58.8370655512274,10050.0,10050.0,277.5518021800135,0.0
2025-02-12,11,1:50-2:00,0.4311,3395.43,0.0,619.4818421086798,0.0,0.0,0.0,0.0,0.0,53.576842108679784,10050.0,10050.0,267.0586221330518,0.0
